[LOG] System::create                           : Header version = 2.01.09. Current version = 2.01.09.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20109 (115889), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000002B7C3922BD8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] SoundI::release                          : Lava_flow_2 (000002B7C46153E8)
[LOG] SoundI::release                          :     Poison 1 (000002B7C40353C8)
[LOG] SoundI::release                          :  (000002B7F0C81ED8)
[LOG] SoundI::release                          :     Fire Monster Vocals_6 (000002B7E835DE28)
[LOG] SoundI::release                          :  (000002B7F0C83018)
[LOG] SoundI::release                          :     BEAST 01 Threaten Short 06 (000002B7E835EE68)
[LOG] SoundI::release                          :  (000002B7F0C81BF8)
[LOG] SoundI::release                          :     Talking Mutant 1_Mono (000002B7E835C428)
[LOG] SoundI::release                          :  (000002B7F0C860F8)
[LOG] SoundI::release                          :     BEAST 01 Attack 08 (000002B7E835B588)
[LOG] SoundI::release                          :  (000002B7F0C85CA8)
[LOG] SoundI::release                          :     76962__michel88__deaths (000002B7E835C288)
[LOG] SoundI::release                          :  (000002B7F0C863D8)
[LOG] SoundI::release                          :     MR - Swamp Fish Creature Damage VO 08 (000002B7E835D948)
[LOG] SoundI::release                          :  (000002B7F0C83188)
[LOG] SoundI::release                          :     Small_monsters_2 (000002B7E835F008)
[LOG] SoundI::release                          :  (000002B7F0C811E8)
[LOG] SoundI::release                          :     76966__michel88__paind (000002B7E835EB28)
[LOG] SoundI::release                          :  (000002B7F0C86268)
[LOG] SoundI::release                          :     MR - Orc Attack VO 04 (000002B7E835B728)
[LOG] SoundI::release                          :  (000002B7F0C84888)
[LOG] SoundI::release                          :     Dash_1 (000002B7C4D74478)
[LOG] SoundI::release                          :  (000002B7F0C82608)
[LOG] SoundI::release                          :     Footstep on concrete 1 (000002B7C027F0F8)
[LOG] SoundI::release                          :  (000002B7F0C817A8)
[LOG] SoundI::release                          :     Footstep on concrete 2 (000002B7C027FDF8)
[LOG] SoundI::release                          :  (000002B7F0C86C78)
[LOG] SoundI::release                          :     Footstep on concrete 3 (000002B7E8597998)
[LOG] SoundI::release                          :  (000002B7F0C83FE8)
[LOG] SoundI::release                          :     Footstep on concrete 4 (000002B7C027E8D8)
[LOG] SoundI::release                          :  (000002B7F0C88AA8)
[LOG] SoundI::release                          :     mixkit-fighting-man-voice-2172 (000002B75BEE7038)
[LOG] SoundI::release                          :  (000002B7F0C884E8)
[LOG] SoundI::release                          :     Impact Takeo 1 (000002B7C4F0E448)
[LOG] SoundI::release                          :  (000002B7F0C85298)
[LOG] SoundI::release                          :     Impact Takeo 2 (000002B75BEE6E98)
[LOG] SoundI::release                          :  (000002B7F0C84158)
[LOG] SoundI::release                          :     Impact Takeo 3 (000002B7C027F438)
[LOG] SoundI::release                          :  (000002B7F0C87F28)
[LOG] SoundI::release                          :     234039__ameangelofsin__pain-ouch (mp3cut.net) (1) (000002B75B4E0CA8)
[LOG] SoundI::release                          :  (000002B7F0C866B8)
[LOG] SoundI::release                          :     234039__ameangelofsin__pain-ouch (mp3cut.net) (2) (000002B7C027E598)
[LOG] SoundI::release                          :  (000002B7F0C83D08)
[LOG] SoundI::release                          :     234039__ameangelofsin__pain-ouch (mp3cut.net) (3) (000002B7C027F918)
[LOG] SoundI::release                          :  (000002B7F0C87DB8)
[LOG] SoundI::release                          :     234039__ameangelofsin__pain-ouch (mp3cut.net) (4) (000002B7EDFD1AF8)
[LOG] SoundI::release                          :  (000002B7F0C84438)
[LOG] SoundI::release                          :     234039__ameangelofsin__pain-ouch (mp3cut.net) (6) (000002B75BEE6CF8)
[LOG] SoundI::release                          :  (000002B7F0C85E18)
[LOG] SoundI::release                          :     234039__ameangelofsin__pain-ouch (mp3cut.net) (000002B7E835E168)
[LOG] SoundI::release                          :  (000002B7F0C87518)
[LOG] SoundI::release                          :     Female_pain_1 (000002B7EDFCE078)
[LOG] SoundI::release                          :  (000002B7F0C88658)
[LOG] SoundI::release                          :     Female_pain_2 (000002B7C4F0EFA8)
[LOG] SoundI::release                          :  (000002B7F0C88D88)
[LOG] SoundI::release                          :     Female_pain_3 (000002B7C506E378)
[LOG] SoundI::release                          :  (000002B7F0C84718)
[LOG] SoundI::release                          :     Female_pain_4 (000002B75BEE71D8)
[LOG] SoundI::release                          :  (000002B7F0C88C18)
[LOG] SoundI::release                          :     223615__ctcollab__fireball-1_mp3cut.net (000002B7C4F0F148)
[LOG] SoundI::release                          :  (000002B7F0C842C8)
[LOG] SoundI::release                          :     MELEE_-_CK_-_ROPE_WHOOSH_Fast_Light_01_mp3cut.net_1 (000002B7C4D74618)
[LOG] SoundI::release                          :  (000002B7F0C86548)
[LOG] SoundI::release                          :     MELEE_-_CK_-_ROPE_WHOOSH_Fast_Light_01_mp3cut.net_2 (000002B7C4D73AB8)
[LOG] SoundI::release                          :  (000002B7F0C81638)
[LOG] SoundI::release                          :     MELEE_-_CK_-_ROPE_WHOOSH_Fast_Light_01_mp3cut.net_3 (000002B7E835DFC8)
[LOG] SoundI::release                          :  (000002B7F0C87C48)
[LOG] SoundI::release                          :     MELEE_-_CK_-_ROPE_WHOOSH_Fast_Light_01_mp3cut.net_4 (000002B7C4F0E108)
[LOG] SoundI::release                          :  (000002B7F0C85128)
[LOG] SoundI::release                          :     MELEE_-_CK_-_ROPE_WHOOSH_Fast_Light_01_mp3cut.net_5 (000002B7C4D74958)
[LOG] SoundI::release                          :  (000002B7F0C84E48)
[LOG] SoundI::release                          :     MELEE_-_CK_-_ROPE_WHOOSH_Fast_Light_01_mp3cut.net_6 (1) (000002B7C4D735D8)
[LOG] SoundI::release                          :  (000002B7F0C87968)
[LOG] SoundI::release                          :     MELEE_-_CK_-_ROPE_WHOOSH_Fast_Light_01_mp3cut.net_6 (000002B7C5071C58)
[LOG] SoundI::release                          :  (000002B7F0C81918)
[LOG] SoundI::release                          :     PowerUp_Mario_2 (000002B7C4D742D8)
[LOG] SoundI::release                          :  (000002B7F0C88378)
[LOG] SoundI::release                          :     238641__madamvicious__anime-magical-girl-voice (1) (mp3cut.net) (5) (000002B7C4F0C3C8)
[LOG] SoundI::release                          :  (000002B7F0C828E8)
[LOG] SoundI::release                          :     238641__madamvicious__anime-magical-girl-voice (1) (mp3cut.net) (6) (000002B75BEE8898)
[LOG] SoundI::release                          :  (000002B7F0C88208)
[LOG] SoundI::release                          :     238641__madamvicious__anime-magical-girl-voice (1) (mp3cut.net) (000002B75BEE7858)
[LOG] SoundI::release                          :  (000002B7F0C86DE8)
[LOG] SoundI::release                          :     238641__madamvicious__anime-magical-girl-voice (1) (mp3cut.net) (3) (000002B7EDFD1478)
[LOG] SoundI::release                          :  (000002B7F0C887C8)
[LOG] SoundI::release                          :     238641__madamvicious__anime-magical-girl-voice (1) (mp3cut.net) (2) (000002B7C5071F98)
[LOG] SoundI::release                          :  (000002B7F0C87688)
[LOG] SoundI::release                          :     238641__madamvicious__anime-magical-girl-voice (1) (mp3cut.net) (1) (000002B7C5071918)
[LOG] SoundI::release                          :  (000002B7E81949A8)
[LOG] SoundI::release                          :     wood_breaking_cracking_snapping_breaking_peeling_bones_break_snap_crack_13 (000002B7E8595DF8)
[LOG] SoundI::release                          :  (000002B7E8193418)
[LOG] SoundI::release                          :     Bluezone_BC0254_wood_handling_003 (000002B7E8596FD8)
[LOG] SoundI::release                          :  (000002B7E8198328)
[LOG] SoundI::release                          :     Bluezone_BC0254_wood_falling_log_002_006 (000002B7E8596618)
[LOG] SoundI::release                          :  (000002B7E8192A08)
[LOG] SoundI::release                          :     Dungeon Door Open, Close, Locked (000002B7E8596C98)
[LOG] SoundI::release                          :  (000002B7E81960A8)
[LOG] SoundI::release                          :     Electronic_Knob_Multi_Turns_Slow-016 (000002B7E85962D8)
[LOG] SoundI::release                          :  (000002B7F0C870C8)
[LOG] SoundI::release                          :     Openin_ Door_1 (000002B7E85981B8)
[LOG] SoundI::release                          :  (000002B7F0C88098)
[LOG] SoundI::release                          :     Bluezone_BC0268_switch_button_click_ignition_002_03 (000002B7E8596138)
[LOG] SoundI::release                          :  (000002B7E8192E58)
[LOG] SoundI::release                          :     impact_wood_debris_fall_hit_02 (000002B7E85991F8)
[LOG] SoundI::release                          :  (000002B7E8193E28)
[LOG] SoundI::release                          :     Sub Low Movement 01 (000002B7E8598838)
[LOG] SoundI::release                          :  (000002B7E8193F98)
[LOG] SoundI::release                          :     UI Button Click Sound Effect Button (000002B7E85977F8)
[LOG] SoundI::release                          :  (000002B7E8196668)
[LOG] SoundI::release                          :     Button_2 (000002B7E8595918)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
